"id";"hash";"oktmo";"municipality";"lvl";"odate_start";"odate_end";"region";"mun_type"
1;"37bab77d5f73cb7d4940e698ddc64605";"01601000";Алейский муниципальный район;1;2015-01-28;2021-11-03;Алтайский край;Муниципальный район
2;"1ec80f7fcca639cdb66451c6f352b8ae";"01601402";Алейский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
3;"70efdf2ec9b086079795c442636b55fb";"01601408";Безголосовский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
4;bfd37fd0b98e905baf4b9ab9e09aefff;"01601413";Большепанюшевский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
5;"62e71aa69bbd6fdaa15746a41e49859c";"01601417";Боровской сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
6;"930bef84c232bedcefb11eb1b08edefd";"01601420";Дружбинский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
7;"8f35edf1233eb638162dfc674ab16037";"01601423";Дубровский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
8;"1bb81547449e04d384644a3acb33aa09";"01601426";Заветильичёвский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
9;"4efa994213da68d698cd22e0252bce0f";"01601432";Кашинский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
10;"3e149e4663d982b0732b3cb26d16f91a";"01601438";Кировский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
11;"9f61408e3afb633e50cdf1b20de6f466";"01601440";Краснопартизанский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
12;"093f65e080a295f8076b1c5722a46aa2";"01601460";Малиновский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
13;"20a92a81f5a115478f2c249f38586c9e";"01601464";Моховской сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
14;"3295c76acbf4caaed33c36b1b5fc2cb1";"01601468";Осколковский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
15;"14bfa6bb14875e45bba028a21ed38046";"01601473";Плотавский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
16;"32bb90e8976aab5298d5da10fe66f21d";"01601475";Савинский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
17;c77c6aee482f1936f721d0d18ac5b213;"01601477";Совхозный сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
18;"15d822d6f7052257e827cb11dc4dd6f5";"01601485";Урюпинский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
19;c6682617a78e2b28856e9fcf0c73beda;"01601496";Фрунзенский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
20;"2a38a4a9316c49e5a833517c45d31070";"01601498";Чапаевский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
21;"935dd862f141b371dd0ce648e0e9f2c6";"01602000";Алтайский муниципальный район;1;2015-01-28;2021-11-03;Алтайский край;Муниципальный район
22;"7e949ccf9ea426810e278dcc796391ec";"01602405";Айский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
23;ac627ab1ccbdb62ec96e702f07f6425b;"01602407";Алтайский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
24;"1f6bc12810285a469be87c0b875e260d";"01602412";Беловский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
25;"816e936dab000f1485fe104b5870663d";"01602423";Куяганский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
26;"4c5861361002afd5a0017d7161cef91b";"01602427";Куячинский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
27;eb160de1de89d9058fcb0b968dbbbd68;"01602435";Макарьевский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
28;da4fb5c6e93e74d3df8527599fa62642;"01602446";Нижнекаменский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
29;"1340426326796d06d0f9293cf012a146";"01602457";Пролетарский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
30;"1afa34a7f984eeabdbb0a7d494132ee5";"01602468";Россошинский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
31;"58e4c894ad36b75a1bcefe76c7934e99";"01602479";Старобелокурихинский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
32;"98ff5f422639d2bd62bc283d486207f8";"01603000";Баевский муниципальный район;1;2015-01-28;2021-11-03;Алтайский край;Муниципальный район
33;"1385974ed5904a438616ff7bdb3f7439";"01603407";Баевский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
34;"903ce9225fca3e988c2af215d4e544d3";"01603416";Верх-Пайвинский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
35;a5e00132373a7031000fd987a3c9f87b;"01603419";Верх-Чуманский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
36;f2217062e9a397a1dca429e7d70bc6ca;"01603434";Нижнепайвинский сельсовет;2;2015-01-28;2015-12-23;Алтайский край;Сельское поселение
37;"36f26138f01de8d50dee558d390409f6";"01603437";Нижнечуманский сельсовет;2;2015-01-28;2015-12-23;Алтайский край;Сельское поселение
38;"0456d33553194426c1a11912efdd02b5";"01603437";Нижнечуманский сельсовет;2;2016-02-10;2021-11-03;Алтайский край;Сельское поселение
39;"21b45b27f73b7a16f0b6898b1e7e0f35";"01603455";Паклинский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
40;"7a4175d8bd8c8083800793f5d14e8829";"01603458";Плотавский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
41;cd81d1dcebb6ace26f34efd43f182682;"01603469";Прослаухинский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
42;"149e9677a5989fd342ae44213df68868";"01603480";Ситниковский сельсовет;2;2015-01-28;2021-11-03;Алтайский край;Сельское поселение
43;"2e9cceb7c79703598f238bc382599885";"01604000";Бийский муниципальный район;1;2015-01-28;2021-11-03;Алтайский край;Муниципальный район
